Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_1.csv,3.06,1.96,0.0,0.0,0.0,0.0,0.0
ARIMA,ARIMA_d1_p1_q1.csv,3.05,1.96,51.43,14.29,14.29,37.14,37.14
Fundamental,XGBModel_lags20_lags_past_covariates3_output_chunk_length1.csv,3.4,2.06,51.43,20.0,20.0,34.29,34.29
,,,,,,,,
Fundamental+GDELT V1,XGBModel_lags8_lags_past_covariates4_output_chunk_length1.csv,3.32,1.96,65.71,25.71,25.71,40.0,40.0
Fundamental+GDELT V2,XGBModel_lags16_lags_past_covariates2_output_chunk_length1.csv,3.0,2.06,60.0,31.43,31.43,31.43,31.43
,,,,,,,,
,,,,,,,,
Fundamental+GDELT V1+GDELT V2,XGBModel_lags1_lags_past_covariates4_output_chunk_length1.csv,2.9,1.94,62.86,28.57,28.57,34.29,34.29
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags24_lags_past_covariates1_output_chunk_length1.csv,3.33,2.19,60.0,31.43,25.71,34.29,34.29
