Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_5.csv,5.17,12.65,54.29,25.71,22.86,31.43,31.43
ARIMA,ARIMA_d4_p6_q2.csv,3.48,8.7,60.0,48.57,48.57,11.43,11.43
Fundamental,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.36,9.42,60.0,22.86,22.86,37.14,37.14
Fundamental+LDA News,RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.09,7.65,60.0,31.43,31.43,34.29,28.57
Fundamental+LDA Twitter,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.24,8.64,68.57,37.14,37.14,31.43,31.43
Fundamental+GDELT V1,RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.48,8.01,62.86,42.86,42.86,22.86,20.0
Fundamental+GDELT V2,RandomForest_lags2_lags_past_covariates2_output_chunk_length1.csv,3.66,9.55,54.29,20.0,20.0,34.29,34.29
Fundamental+LDA News+LDA Twitter,LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.11,8.16,65.71,42.86,42.86,25.71,22.86
Fundamental+LDA News+GDELT V1,RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,2.9,7.49,60.0,34.29,34.29,31.43,25.71
Fundamental+LDA News+GDELT V2,LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.2,7.85,62.86,31.43,31.43,34.29,31.43
Fundamental+LDA Twitter+GDELT V1,LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.37,7.85,60.0,40.0,40.0,22.86,20.0
Fundamental+LDA Twitter+GDELT V2,RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.4,8.69,65.71,37.14,37.14,28.57,28.57
Fundamental+GDELT V1+GDELT V2,LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.21,8.22,62.86,37.14,37.14,25.71,25.71
Fundamental+LDA News+LDA Twitter+GDELT V1,LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,2.96,7.78,65.71,40.0,40.0,31.43,25.71
Fundamental+LDA News+LDA Twitter+GDELT V2,RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.12,7.99,62.86,40.0,40.0,25.71,22.86
Fundamental+LDA News+GDELT V1+GDELT V2,RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.02,7.64,62.86,37.14,37.14,31.43,25.71
Fundamental+LDA Twitter+GDELT V1+GDELT V2,RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.16,8.06,65.71,40.0,40.0,25.71,25.71
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.02,7.8,60.0,34.29,34.29,28.57,25.71
