Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_1.csv,1.8,0.21,8.57,8.57,8.57,8.57,8.57
ARIMA,ARIMA_d1_p4_q3.csv,1.77,0.21,48.57,22.86,22.86,28.57,28.57
Fundamental,XGBModel_lags8_lags_past_covariates3_output_chunk_length1.csv,2.03,0.23,60.0,22.86,22.86,37.14,37.14
,,,,,,,,
Fundamental+GDELT V1,XGBModel_lags3_lags_past_covariates2_output_chunk_length1.csv,2.2,0.24,54.29,28.57,28.57,25.71,25.71
Fundamental+GDELT V2,XGBModel_lags1_lags_past_covariates1_output_chunk_length1.csv,1.97,0.22,48.57,22.86,22.86,31.43,31.43
,,,,,,,,
,,,,,,,,
Fundamental+GDELT V1+GDELT V2,XGBModel_lags1_lags_past_covariates3_output_chunk_length1.csv,2.24,0.27,62.86,37.14,37.14,28.57,28.57
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags3_lags_past_covariates4_output_chunk_length1.csv,2.37,0.25,48.57,31.43,31.43,17.14,17.14
