Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_1.csv,3.05,0.14,11.43,11.43,11.43,11.43,11.43
ARIMA,ARIMA_d1_p16_q4.csv,2.74,0.14,60.0,34.29,34.29,34.29,34.29
Fundamental,XGBModel_lags1_lags_past_covariates2_output_chunk_length1.csv,3.76,0.17,48.57,28.57,28.57,31.43,31.43
,,,,,,,,
Fundamental+GDELT V1,XGBModel_lags8_lags_past_covariates1_output_chunk_length1.csv,3.83,0.17,51.43,25.71,25.71,28.57,28.57
Fundamental+GDELT V2,XGBModel_lags20_lags_past_covariates20_output_chunk_length1.csv,3.97,0.18,48.57,25.71,25.71,31.43,28.57
,,,,,,,,
,,,,,,,,
Fundamental+GDELT V1+GDELT V2,XGBModel_lags16_lags_past_covariates1_output_chunk_length1.csv,4.0,0.17,57.14,20.0,20.0,42.86,40.0
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags24_lags_past_covariates12_output_chunk_length1.csv,3.82,0.18,54.29,28.57,28.57,37.14,37.14
