Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_1.csv,1.96,8.97,8.57,8.57,8.57,8.57,8.57
ARIMA,ARIMA_d1_p12_q1.csv,1.91,8.62,62.86,34.29,34.29,28.57,28.57
Fundamental,XGBModel_lags20_lags_past_covariates3_output_chunk_length1.csv,1.89,8.7,51.43,28.57,28.57,22.86,22.86
,,,,,,,,
Fundamental+GDELT V1,XGBModel_lags24_lags_past_covariates2_output_chunk_length1.csv,2.17,10.06,45.71,25.71,25.71,20.0,20.0
Fundamental+GDELT V2,XGBModel_lags4_lags_past_covariates1_output_chunk_length1.csv,1.88,8.73,57.14,34.29,34.29,22.86,22.86
,,,,,,,,
,,,,,,,,
Fundamental+GDELT V1+GDELT V2,XGBModel_lags24_lags_past_covariates1_output_chunk_length1.csv,2.02,10.04,45.71,25.71,25.71,20.0,20.0
Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags12_lags_past_covariates20_output_chunk_length1.csv,1.95,8.86,54.29,31.43,31.43,22.86,22.86
