Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_10.csv,5.59,9.97,57.14,37.14,34.29,25.71,25.71
ARIMA,ARIMA_d6_p10_q2.csv,9.71,17.83,54.29,17.14,17.14,40.0,37.14
Fundamental,RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,5.44,9.47,65.71,20.0,20.0,48.57,48.57
Fundamental+LDA News,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,5.41,9.87,68.57,28.57,28.57,42.86,42.86
Fundamental+LDA Twitter,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,5.56,9.49,54.29,17.14,17.14,40.0,40.0
Fundamental+GDELT V1,RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,5.55,9.56,54.29,14.29,14.29,42.86,42.86
Fundamental+GDELT V2,RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,5.35,9.25,60.0,17.14,17.14,45.71,45.71
Fundamental+LDA News+LDA Twitter,RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,5.6,9.74,60.0,20.0,20.0,42.86,42.86
Fundamental+LDA News+GDELT V1,RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,5.27,9.6,62.86,17.14,17.14,48.57,48.57
Fundamental+LDA News+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,5.42,8.83,68.57,28.57,28.57,42.86,42.86
Fundamental+LDA Twitter+GDELT V1,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,5.29,9.31,62.86,17.14,17.14,48.57,48.57
Fundamental+LDA Twitter+GDELT V2,XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,5.46,9.36,54.29,22.86,22.86,34.29,34.29
Fundamental+GDELT V1+GDELT V2,RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,5.42,9.48,57.14,11.43,11.43,48.57,48.57
Fundamental+LDA News+LDA Twitter+GDELT V1,RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,5.61,9.63,68.57,22.86,22.86,48.57,48.57
Fundamental+LDA News+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,5.53,8.95,65.71,28.57,28.57,40.0,40.0
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,5.34,8.77,62.86,25.71,22.86,42.86,42.86
Fundamental+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,5.5,9.46,51.43,20.0,20.0,34.29,34.29
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,5.42,8.82,60.0,25.71,22.86,40.0,40.0
