Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_5.csv,3.66,1.62,57.14,37.14,37.14,20.0,20.0
ARIMA,ARIMA_d6_p10_q2.csv,3.89,1.74,51.43,22.86,22.86,28.57,28.57
Fundamental,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,3.11,1.48,54.29,34.29,34.29,20.0,20.0
Fundamental+LDA News,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.46,1.56,57.14,31.43,31.43,25.71,25.71
Fundamental+LDA Twitter,RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,2.94,1.42,57.14,37.14,37.14,20.0,20.0
Fundamental+GDELT V1,RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,3.28,1.51,51.43,40.0,40.0,11.43,11.43
Fundamental+GDELT V2,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,3.25,1.55,60.0,42.86,42.86,17.14,17.14
Fundamental+LDA News+LDA Twitter,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,4.12,1.94,57.14,34.29,34.29,22.86,22.86
Fundamental+LDA News+GDELT V1,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,3.95,1.85,57.14,34.29,34.29,22.86,22.86
Fundamental+LDA News+GDELT V2,RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,4.19,2.0,60.0,40.0,40.0,20.0,20.0
Fundamental+LDA Twitter+GDELT V1,XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.0,1.4,60.0,28.57,28.57,31.43,31.43
Fundamental+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.1,1.55,65.71,42.86,42.86,22.86,22.86
Fundamental+GDELT V1+GDELT V2,RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,3.21,1.52,57.14,42.86,42.86,14.29,14.29
Fundamental+LDA News+LDA Twitter+GDELT V1,RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,3.87,1.84,62.86,40.0,40.0,22.86,22.86
Fundamental+LDA News+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.93,2.28,74.29,45.71,45.71,28.57,28.57
Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,3.84,1.81,51.43,31.43,31.43,20.0,20.0
Fundamental+LDA Twitter+GDELT V1+GDELT V2,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,3.19,1.51,51.43,34.29,34.29,17.14,17.14
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,3.83,1.82,60.0,34.29,34.29,25.71,25.71
