param,mape,rmse,da
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.32,0.35,0
XGBModel_lags10_lags_past_covariates1_output_chunk_length1.csv,3.05,0.34,0
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.04,0.31,0
XGBModel_lags10_lags_past_covariates5_output_chunk_length1.csv,3.02,0.34,0
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.24,0.37,0
XGBModel_lags1_lags_past_covariates10_output_chunk_length1.csv,3.66,0.4,0
XGBModel_lags1_lags_past_covariates1_output_chunk_length1.csv,2.97,0.31,0
XGBModel_lags1_lags_past_covariates5_output_chunk_length1.csv,3.18,0.37,0
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.43,0.36,0
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,2.83,0.3,0
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.07,0.34,0
XGBModel_lags5_lags_past_covariates10_output_chunk_length1.csv,3.37,0.35,0
XGBModel_lags5_lags_past_covariates1_output_chunk_length1.csv,2.59,0.29,0
XGBModel_lags5_lags_past_covariates5_output_chunk_length1.csv,3.09,0.34,0
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.37,0.35,0
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,2.44,0.27,0
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.13,0.35,0
