Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_5.csv,3.66,1.62,57.14,37.14,37.14,20.0,20.0
ARIMA,ARIMA_d6_p10_q2.csv,3.89,1.74,51.43,22.86,22.86,28.57,28.57
Fundamental,XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.28,1.62,62.86,37.14,37.14,25.71,25.71
Fundamental+LDA News,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.46,1.56,57.14,31.43,31.43,25.71,25.71
Fundamental+LDA Twitter,XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.72,1.69,60.0,37.14,37.14,22.86,22.86
Fundamental+GDELT V1,XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.57,1.61,60.0,37.14,37.14,22.86,22.86
Fundamental+GDELT V2,XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.42,1.65,57.14,37.14,37.14,20.0,20.0
Fundamental+LDA News+LDA Twitter,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,4.13,1.82,65.71,45.71,45.71,20.0,20.0
Fundamental+LDA News+GDELT V1,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,4.06,1.85,65.71,42.86,42.86,22.86,22.86
Fundamental+LDA News+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,4.22,1.91,60.0,40.0,40.0,20.0,20.0
Fundamental+LDA Twitter+GDELT V1,XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.0,1.4,60.0,28.57,28.57,31.43,31.43
Fundamental+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.1,1.55,65.71,42.86,42.86,22.86,22.86
Fundamental+GDELT V1+GDELT V2,XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.31,1.55,62.86,45.71,45.71,17.14,17.14
Fundamental+LDA News+LDA Twitter+GDELT V1,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,4.22,1.92,68.57,45.71,45.71,22.86,22.86
Fundamental+LDA News+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.93,2.28,74.29,45.71,45.71,28.57,28.57
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,4.06,1.86,62.86,42.86,42.86,20.0,20.0
Fundamental+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.33,1.56,65.71,45.71,45.71,20.0,20.0
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,4.06,2.24,62.86,42.86,42.86,20.0,20.0
