Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_5.csv,2.93,8.35,65.71,31.43,31.43,34.29,34.29
ARIMA,ARIMA_d4_p10_q2.csv,2.44,7.07,68.57,28.57,28.57,40.0,40.0
Fundamental,RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,2.11,6.15,80.0,34.29,34.29,45.71,45.71
Fundamental+LDA News,LinearRegressionModel_lags2_lags_past_covariates2_output_chunk_length1.csv,2.36,6.31,71.43,22.86,22.86,48.57,48.57
Fundamental+LDA Twitter,RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,2.13,6.16,68.57,31.43,31.43,37.14,37.14
Fundamental+GDELT V1,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.2,6.16,74.29,31.43,31.43,42.86,42.86
Fundamental+GDELT V2,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.26,6.26,74.29,34.29,34.29,40.0,40.0
Fundamental+LDA News+LDA Twitter,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.33,6.26,68.57,28.57,28.57,40.0,40.0
Fundamental+LDA News+GDELT V1,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.31,6.27,65.71,25.71,25.71,40.0,40.0
Fundamental+LDA News+GDELT V2,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.28,6.13,68.57,28.57,28.57,40.0,40.0
Fundamental+LDA Twitter+GDELT V1,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.17,6.27,74.29,34.29,34.29,40.0,40.0
Fundamental+LDA Twitter+GDELT V2,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.19,6.3,77.14,37.14,37.14,40.0,40.0
Fundamental+GDELT V1+GDELT V2,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.15,6.12,80.0,31.43,31.43,48.57,48.57
Fundamental+LDA News+LDA Twitter+GDELT V1,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.36,6.44,65.71,22.86,22.86,42.86,42.86
Fundamental+LDA News+LDA Twitter+GDELT V2,RandomForest_lags2_lags_past_covariates2_output_chunk_length1.csv,2.41,6.65,68.57,34.29,34.29,34.29,34.29
Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.44,6.48,65.71,28.57,28.57,37.14,37.14
Fundamental+LDA Twitter+GDELT V1+GDELT V2,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.21,6.2,77.14,31.43,31.43,45.71,45.71
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,RandomForest_lags10_lags_past_covariates2_output_chunk_length1.csv,2.38,6.39,74.29,34.29,34.29,40.0,40.0
